,filepath,filename,AGE_GROUP,SUBJECT_NO,SEX
11,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A013_M_20231204_treadmill-005_angle_5xzyframe.pkl,A013_M_20231204_treadmill-005_angle_5xzyframe,A,013,M
12,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A014_M_20231204_treadmill-005_angle_5xzyframe.pkl,A014_M_20231204_treadmill-005_angle_5xzyframe,A,014,M
13,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A015_F_20231204_treadmill-005_angle_5xzyframe.pkl,A015_F_20231204_treadmill-005_angle_5xzyframe,A,015,F
14,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A016_M_20231205_treadmill-005_angle_5xzyframe.pkl,A016_M_20231205_treadmill-005_angle_5xzyframe,A,016,M
15,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A017_F_20231207_treadmill-005_angle_5xzyframe.pkl,A017_F_20231207_treadmill-005_angle_5xzyframe,A,017,F
16,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A018_M_20231218_treadmill-005_angle_5xzyframe.pkl,A018_M_20231218_treadmill-005_angle_5xzyframe,A,018,M
17,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B001_M_20231122_treadmill-005_angle_5xzyframe.pkl,B001_M_20231122_treadmill-005_angle_5xzyframe,B,001,M
18,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B002_F_20231123_treadmill-005_angle_5xzyframe.pkl,B002_F_20231123_treadmill-005_angle_5xzyframe,B,002,F
19,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B003_F_20231123_treadmill-005_angle_5xzyframe.pkl,B003_F_20231123_treadmill-005_angle_5xzyframe,B,003,F
20,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B004_F_20231124_treadmill-005_angle_5xzyframe.pkl,B004_F_20231124_treadmill-005_angle_5xzyframe,B,004,F
21,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B005_M_20231124_treadmill-005_angle_5xzyframe.pkl,B005_M_20231124_treadmill-005_angle_5xzyframe,B,005,M
22,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B006_F_20231124_treadmill-005_angle_5xzyframe.pkl,B006_F_20231124_treadmill-005_angle_5xzyframe,B,006,F
23,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B007_F_20231127_treadmill-005_angle_5xzyframe.pkl,B007_F_20231127_treadmill-005_angle_5xzyframe,B,007,F
24,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B008_F_20231127_treadmill-005_angle_5xzyframe.pkl,B008_F_20231127_treadmill-005_angle_5xzyframe,B,008,F
25,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B009_M_20231127_treadmill-005_angle_5xzyframe.pkl,B009_M_20231127_treadmill-005_angle_5xzyframe,B,009,M
26,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B010_F_20231128_treadmill-005_angle_5xzyframe.pkl,B010_F_20231128_treadmill-005_angle_5xzyframe,B,010,F
27,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B011_F_20231129_treadmill-005_angle_5xzyframe.pkl,B011_F_20231129_treadmill-005_angle_5xzyframe,B,011,F
28,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B012_M_20231130_treadmill-005_angle_5xzyframe.pkl,B012_M_20231130_treadmill-005_angle_5xzyframe,B,012,M
29,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B013_F_20231130_treadmill-005_angle_5xzyframe.pkl,B013_F_20231130_treadmill-005_angle_5xzyframe,B,013,F
30,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B014_M_20231207_treadmill-005_angle_5xzyframe.pkl,B014_M_20231207_treadmill-005_angle_5xzyframe,B,014,M
31,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B015_M_20231208_treadmill-005_angle_5xzyframe.pkl,B015_M_20231208_treadmill-005_angle_5xzyframe,B,015,M
32,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B016_M_202312011_treadmill-005_angle_5xzyframe.pkl,B016_M_202312011_treadmill-005_angle_5xzyframe,B,016,M
33,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B017_M_20231214_treadmill-005_angle_5xzyframe.pkl,B017_M_20231214_treadmill-005_angle_5xzyframe,B,017,M
34,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/B018_M_20231218_treadmill-005_angle_5xzyframe.pkl,B018_M_20231218_treadmill-005_angle_5xzyframe,B,018,M
35,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C001_F_202312011_treadmill-005_angle_5xzyframe.pkl,C001_F_202312011_treadmill-005_angle_5xzyframe,C,001,F
36,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C002_M_202312011_treadmill-005_angle_5xzyframe.pkl,C002_M_202312011_treadmill-005_angle_5xzyframe,C,002,M
37,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C003_F_20231215_treadmill-005_angle_5xzyframe.pkl,C003_F_20231215_treadmill-005_angle_5xzyframe,C,003,F
38,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C004_F_20231219_treadmill-005_angle_5xzyframe.pkl,C004_F_20231219_treadmill-005_angle_5xzyframe,C,004,F
39,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C005_M_20240108_treadmill-005_angle_5xzyframe.pkl,C005_M_20240108_treadmill-005_angle_5xzyframe,C,005,M
40,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C006_F_20240112_treadmill-005_angle_5xzyframe.pkl,C006_F_20240112_treadmill-005_angle_5xzyframe,C,006,F
41,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C007_M_20240112_treadmill-005_angle_5xzyframe.pkl,C007_M_20240112_treadmill-005_angle_5xzyframe,C,007,M
42,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C008_M_20240126_treadmill-005_angle_5xzyframe.pkl,C008_M_20240126_treadmill-005_angle_5xzyframe,C,008,M
43,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C009_M_20240202_treadmill-005_angle_5xzyframe.pkl,C009_M_20240202_treadmill-005_angle_5xzyframe,C,009,M
44,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C010_F_20240202_treadmill-005_angle_5xzyframe.pkl,C010_F_20240202_treadmill-005_angle_5xzyframe,C,010,F
45,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C011_F_20240202_treadmill-005_angle_5xzyframe.pkl,C011_F_20240202_treadmill-005_angle_5xzyframe,C,011,F
46,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C012_M_20240203_treadmill-005_angle_5xzyframe.pkl,C012_M_20240203_treadmill-005_angle_5xzyframe,C,012,M
47,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C013_F_20240203_treadmill-005_angle_5xzyframe.pkl,C013_F_20240203_treadmill-005_angle_5xzyframe,C,013,F
48,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C014_F_20240204_treadmill-005_1_angle_5xzyframe.pkl,C014_F_20240204_treadmill-005_1_angle_5xzyframe,C,014,F
49,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C014_F_20240204_treadmill-005_2_angle_5xzyframe.pkl,C014_F_20240204_treadmill-005_2_angle_5xzyframe,C,014,F
50,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C014_F_20240204_treadmill-005_3_angle_5xzyframe.pkl,C014_F_20240204_treadmill-005_3_angle_5xzyframe,C,014,F
51,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C015_F_20240204_treadmill-005_1_angle_5xzyframe.pkl,C015_F_20240204_treadmill-005_1_angle_5xzyframe,C,015,F
52,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C015_F_20240204_treadmill-005_2_angle_5xzyframe.pkl,C015_F_20240204_treadmill-005_2_angle_5xzyframe,C,015,F
53,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C016_M_20240216_treadmill-005_angle_5xzyframe.pkl,C016_M_20240216_treadmill-005_angle_5xzyframe,C,016,M
54,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C017_M_20240220_treadmill-005_angle_5xzyframe.pkl,C017_M_20240220_treadmill-005_angle_5xzyframe,C,017,M
55,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/C018_M_20240221_treadmill-005_angle_5xzyframe.pkl,C018_M_20240221_treadmill-005_angle_5xzyframe,C,018,M
